country_id,country,winery,region_1,region_2,province,best_wine_with_low_price,best_wine_variety,best_wine_price,best_wine_points
USA,United States,Patricia Green Cellars,Ribbon Ridge,Willamette Valley,Oregon,Patricia Green Cellars 2016 Estate Vineyard Bonshaw Block Pinot Noir (Ribbon Ridge),Pinot Noir,60,100
AUT,Austria,Sattlerhof,N/A,,Südsteiermark,Sattlerhof 2013 Trockenbeerenauslese Sauvignon Blanc (Südsteiermark),Sauvignon Blanc,65,100
ITA,Italy,Paolo Scavino,Barolo,,Piedmont,Paolo Scavino 2010 Bric dël Fiasc  (Barolo),Nebbiolo,100,100
FRA,France,Château Léoville Barton,Saint-Julien,,Bordeaux,Château Léoville Barton 2010  Saint-Julien,Bordeaux-style Red Blend,150,100
AUS,Australia,Chambers Rosewood Vineyards,Rutherglen,,Victoria,Chambers Rosewood Vineyards NV Rare Muscat (Rutherglen),Muscat,350,100
PRT,Portugal,Casa Ferreirinha,N/A,,Douro,Casa Ferreirinha 2008 Barca-Velha Red (Douro),Portuguese Red,450,100
ESP,Spain,Viña Sastre,Ribera del Duero,,Northern Spain,Viña Sastre 2006 Pesus  (Ribera del Duero),Tempranillo Blend,750,100
DEU,Germany,Robert Weil,N/A,,Rheingau,Robert Weil 2015 Kiedrich Gräfenberg Trockenbeerenauslese Riesling (Rheingau),Riesling,775,98
HUN,Hungary,Royal Tokaji,N/A,,Tokaji,Royal Tokaji 2013 6 Puttonyos Aszú Gold Label  (Tokaji),White Blend,80,97
ARG,Argentina,Bodega Catena Zapata,Mendoza,,Mendoza Province,Bodega Catena Zapata 2006 Nicasia Vineyard Malbec (Mendoza),Malbec,120,97
GBR,England,Wiston Estate Winery,N/A,,England,Wiston Estate Winery 2009 Cuvée Brut  (England),Champagne Blend,50,96
CAN,Canada,Reif Estate,Niagara River,,Ontario,Reif Estate 2015 Icewine Vidal (Niagara River),Vidal,60,96
ZAF,South Africa,De Toren,N/A,,Stellenbosch,De Toren 2015 Book 17 XVII Red (Stellenbosch),Bordeaux-style Red Blend,330,96
NZL,New Zealand,Rippon,N/A,,Central Otago,Rippon 2016 Mature Vine Lake Wanaka Riesling (Central Otago),Riesling,36,95
CHL,Chile,Valdivieso,N/A,,Central Valley,Valdivieso NV Caballo Loco Number Sixteen Red (Central Valley),Red Blend,70,95
ISR,Israel,Recanati,N/A,,Galilee,Recanati 2011 Reserve David Vineyard Cabernet Sauvignon (Galilee),Cabernet Sauvignon,25,94
GRC,Greece,Dionysos,N/A,,Mantinia,Dionysos 2014 Moschofilero (Mantinia),Moschofilero,16,93
MAR,Morocco,Ouled Thaleb,N/A,,Zenata,Ouled Thaleb 2012 Médaillon Red (Zenata),Red Blend,18,93
IND,India,Sula,N/A,,Nashik,Sula 2011 Dindori Reserve Shiraz (Nashik),Shiraz,20,93
URY,Uruguay,Garzón,N/A,,Uruguay,Garzón 2015 Balasto Red (Uruguay),Red Blends,120,93
CHN,China,Ao Yun,N/A,,China,Ao Yun 2014 Red (China),Red Blends,300,93
GEO,Georgia,Alaverdi Monastery Cellar,N/A,,Kakheti,Alaverdi Monastery Cellar 2010 Qvevri Traditional Kakhuri Dry Unfiltered Amber Wine Rkatsiteli (Kakheti),Rkatsiteli,25,92
ROU,Romania,Cramele Recas,N/A,,Recas,Cramele Recas 2013 Conocul Ambrozy Sauvignon Blanc (Recas),Sauvignon Blanc,28,92
TUR,Turkey,Kavaklidere,N/A,,Aegean,Kavaklidere 2010 Pendore Öküzgözü (Aegean),Okuzgozu,33,92
SVN,Slovenia,Movia,N/A,,Brda,Movia 2007 Veliko White (Brda),White Blend,50,92
MEX,Mexico,Viñas de Garza,N/A,,Valle de Guadalupe,Viñas de Garza 2007 Amado IV Red (Valle de Guadalupe),Red Blend,54,92
LBN,Lebanon,Ixsir,N/A,,Lebanon,Ixsir 2009 Altitudes Red (Lebanon),Red Blend,20,91
